Time,Numerical solution,Exact solution,Error
0.0,1.0,1.0,0.0
0.01,0.9999000000010002,0.9999499987499375,4.999874893729661e-05
0.02,0.9996999800010032,0.999799979995999,9.999999499576973e-05
0.03,0.9993998899619967,0.9995498987044118,0.00015000874241510864
0.04,0.9989996497337942,0.9991996797437437,0.00020003000994950337
0.05,0.9984991489324652,0.998749217771909,0.00025006883944378444
0.060000000000000005,0.9978982467729239,0.9981983770774224,0.00030013030449849154
0.07,0.9971967718550862,0.9975469913743412,0.00035021951925506833
0.08,0.9963945219028332,0.996794863550169,0.00040034164733582234
0.09,0.9954912634548551,0.995941765365827,0.0004505019109719566
0.09999999999999999,0.9944867315062627,0.99498743710662,0.0005007056003573096
0.10999999999999999,0.9933806290996774,0.9939315871829408,0.000550958083263442
0.11999999999999998,0.9921726268643118,0.9927738916792685,0.0006012648149567035
0.12999999999999998,0.9908623625013525,0.9915139938498094,0.0006516313484569158
0.13999999999999999,0.9894494402137413,0.9901515035589251,0.0007020633451838565
0.15,0.9879334300782256,0.9886859966642595,0.0007525665860338426
0.16,0.9863138673573045,0.9871170143402453,0.0008031469829408167
0.17,0.9845902517484403,0.9854440623394105,0.0008538105909702276
0.18000000000000002,0.9827620465676291,0.983666610188635,0.0009045636210058827
0.19000000000000003,0.980828677864126,0.9817840903172143,0.0009554124530882779
0.20000000000000004,0.9787895334627977,0.9797958971132712,0.001006363650473463
0.21000000000000005,0.9766439619302337,0.9777013859047148,0.0010574239744810532
0.22000000000000006,0.9743912714603643,0.9754998718605759,0.0011086004002115457
0.23000000000000007,0.9720307286749319,0.9731906288081488,0.0011599001332168735
0.24000000000000007,0.9695615573337116,0.9707728879609278,0.0012113306272161228
0.25000000000000006,0.9669829369488949,0.9682458365518543,0.0012628996029593331
0.26000000000000006,0.9642940012975165,0.9656086163658649,0.0013146150683484015
0.2700000000000001,0.9614938368252238,0.9628603221651622,0.001366485339938328
0.2800000000000001,0.9585814809340468,0.96,0.0014185190659531388
0.2900000000000001,0.9555559201461238,0.957026645397086,0.001470725250962257
0.3000000000000001,0.9524160881345612,0.9539392014169457,0.001523113282384414
0.3100000000000001,0.9491608636117508,0.9507365565707463,0.0015756929589955115
0.3200000000000001,0.9457890680645153,0.9474175425861608,0.0016284745216454954
0.3300000000000001,0.9422994633244091,0.9439809320108112,0.0016814686864021766
0.34000000000000014,0.938690748960326,0.9404254356406997,0.0017346866803736871
0.35000000000000014,0.9349615594792766,0.9367496997597597,0.0017881402804831303
0.36000000000000015,0.9311104613197446,0.932952303175248,0.001841841855503401
0.37000000000000016,0.9271359496204212,0.9290317540321212,0.0018958044117000084
0.38000000000000017,0.9230364447453109,0.9249864863877741,0.0019500416424632627
0.3900000000000002,0.9188102885441763,0.920814856526544,0.0020045679823677
0.4000000000000002,0.9144557403250239,0.9165151389911679,0.002059398666144019
0.4100000000000002,0.9099709725127704,0.9120855223058855,0.0021145497931150947
0.4200000000000002,0.9053540659653599,0.9075241043630742,0.0021700383977142357
0.4300000000000002,0.9006030049153416,0.9028288874421331,0.002225882526791456
0.4400000000000002,0.8957156715012434,0.8979977728257458,0.0022821013245023503
0.45000000000000023,0.8906898398489028,0.8930285549745874,0.0023387151256846206
0.46000000000000024,0.8855231696581698,0.8879189152169243,0.0023957455587545473
0.47000000000000025,0.8802131992449933,0.8826664149042943,0.0024532156593010113
0.48000000000000026,0.874757337982731,0.8772684879784522,0.002511149995721218
0.49000000000000027,0.8691528580794525,0.8717224328879003,0.002569574808447772
0.5000000000000002,0.8633968788419866,0.8660254037844385,0.0026285249424519153
0.5100000000000002,0.8574863766677663,0.8601744009211154,0.0026880242533491305
0.5200000000000002,0.8514181551100228,0.8541662601625047,0.0027481050524819084
0.5300000000000002,0.8451888394435337,0.8479976415061541,0.0028088020626203525
0.5400000000000003,0.838794863841046,0.8416650165000323,0.00287015265898638
0.5500000000000003,0.8322324572846024,0.8351646544245032,0.002932197139900783
0.5600000000000003,0.8254976280568749,0.828492607088319,0.0029949790314440783
0.5700000000000003,0.8185861466345615,0.8216446920658587,0.0030585454312971327
0.5800000000000003,0.811493526778812,0.8146164741766518,0.0031229473978398037
0.5900000000000003,0.8042150045856682,0.8074032449773779,0.003188240391709729
0.6000000000000003,0.7967455152216381,0.7999999999999998,0.003254484778361766
0.6100000000000003,0.7890796670244816,0.7924014134263011,0.003321746401819481
0.6200000000000003,0.7812117125955086,0.784601809837321,0.0033900972418123843
0.6300000000000003,0.7731355164451911,0.7765951326141566,0.003459616168965507
0.6400000000000003,0.7648445186761863,0.7683749084919416,0.0035303898157552638
0.6500000000000004,0.7563316940937994,0.7599342076785328,0.0036025135847334022
0.6600000000000004,0.7475895060194644,0.7512655988397177,0.003676092820253274
0.6700000000000004,0.7386098539428273,0.7423610981186982,0.003751244175870916
0.6800000000000004,0.7293840139758202,0.733212111192934,0.003828097217113746
0.6900000000000004,0.7199025708590371,0.7238093671679025,0.003906796308865368
0.7000000000000004,0.7101553400054114,0.7141428428542846,0.003987502848873281
0.7100000000000004,0.7001312777336194,0.7042016756583298,0.004070397924710423
0.7200000000000004,0.68981837742379,0.6939740629158985,0.00415568549210843
0.7300000000000004,0.6792035487940646,0.6834471449936707,0.0042435961996060145
0.7400000000000004,0.6682724768117736,0.672606868832009,0.004334392020235445
0.7500000000000004,0.6570094558673404,0.6614378277661471,0.004428371898806738
0.7600000000000005,0.6453971936829246,0.6499230723708763,0.004525878687951734
0.7700000000000005,0.6334165779036501,0.6380438856379702,0.004627307734320074
0.7800000000000005,0.6210463962882458,0.62577951388648,0.004733117598234249
0.7900000000000005,0.6082629986780179,0.6131068422387727,0.004843843560754735
0.8000000000000005,0.5950398851857001,0.5999999999999993,0.004960114814299255
0.8100000000000005,0.5813471998739178,0.5864298764558293,0.005082676581911527
0.8200000000000005,0.5671511019287485,0.5723635208501667,0.005212418921418216
0.8300000000000005,0.5524129759622941,0.5577633906953728,0.005350414733078734
0.8400000000000005,0.5370884280007859,0.5425863986500207,0.00549797064923474
0.8500000000000005,0.5211259913540804,0.526782687642636,0.005656696288555585
0.8600000000000005,0.5044654326537031,0.510294032886922,0.00582860023321885
0.8700000000000006,0.4870355321520889,0.4930517214248411,0.006016189272752215
0.8800000000000006,0.4687509237087534,0.47497368348151564,0.006222759772762265
0.8900000000000006,0.449507923140556,0.4559605246071188,0.006452601466562791
0.9000000000000006,0.42917842454889865,0.43588989435406617,0.006711469805167514
